,StudentID,OPT_Code,D2D,S2S,WC,lat,lon,lonlat,geometry
114,115,20259,1,0,0,-73.96575197957014,40.580905323521904,"40.580905323521904,-73.96575197957014",POINT (-73.96575197957014 40.5809053235219)
115,116,20259,1,0,0,-74.0229173917242,40.63100865282712,"40.63100865282712,-74.0229173917242",POINT (-74.02291739172421 40.63100865282712)
116,117,20259,1,0,0,-73.96389224273275,40.585717267537916,"40.585717267537916,-73.96389224273275",POINT (-73.96389224273275 40.58571726753792)
117,118,20259,1,0,0,-73.97417306933164,40.65185667444604,"40.65185667444604,-73.97417306933164",POINT (-73.97417306933164 40.65185667444604)
118,119,20259,1,0,0,-73.99793081159618,40.6449223773334,"40.6449223773334,-73.99793081159618",POINT (-73.99793081159618 40.6449223773334)
119,120,20259,1,0,0,-73.98910581188369,40.59332091312967,"40.59332091312967,-73.98910581188369",POINT (-73.98910581188369 40.59332091312967)
120,121,20259,1,0,0,-74.01628970570533,40.658805002049235,"40.658805002049235,-74.01628970570533",POINT (-74.01628970570533 40.65880500204923)
121,122,20259,1,0,0,-73.992334146004,40.6936475520929,"40.6936475520929,-73.992334146004",POINT (-73.992334146004 40.6936475520929)
122,123,20259,1,0,0,-73.99673780500564,40.576885293721375,"40.576885293721375,-73.99673780500564",POINT (-73.99673780500564 40.57688529372138)
123,124,20259,1,0,0,-73.99902644021802,40.621312002446984,"40.621312002446984,-73.99902644021802",POINT (-73.99902644021802 40.62131200244698)
124,125,20259,1,0,0,-73.9713673850967,40.58689046552263,"40.58689046552263,-73.9713673850967",POINT (-73.9713673850967 40.58689046552263)
125,126,20259,1,0,0,-74.00772977860635,40.65296180274504,"40.65296180274504,-74.00772977860635",POINT (-74.00772977860635 40.65296180274504)
126,127,20259,1,0,0,-73.98465057586333,40.668239143022106,"40.668239143022106,-73.98465057586333",POINT (-73.98465057586333 40.66823914302211)
127,128,20259,1,0,0,-73.96585507065492,40.57444719208428,"40.57444719208428,-73.96585507065492",POINT (-73.96585507065492 40.57444719208428)
128,129,20259,1,0,0,-74.03093704840603,40.62792524175654,"40.62792524175654,-74.03093704840603",POINT (-74.03093704840603 40.62792524175654)
129,130,20259,1,0,0,-74.02748855980786,40.61698424476599,"40.61698424476599,-74.02748855980786",POINT (-74.02748855980786 40.61698424476599)
130,131,20259,1,0,0,-74.00256195127298,40.59694022031499,"40.59694022031499,-74.00256195127298",POINT (-74.00256195127298 40.59694022031499)
131,132,20259,1,0,0,-74.02843748350301,40.61344675666254,"40.61344675666254,-74.02843748350301",POINT (-74.02843748350301 40.61344675666254)
132,133,20259,1,0,0,-73.99060176396017,40.63394014861899,"40.63394014861899,-73.99060176396017",POINT (-73.99060176396017 40.63394014861899)
133,134,20259,1,0,0,-74.0037270121918,40.63652661591067,"40.63652661591067,-74.0037270121918",POINT (-74.0037270121918 40.63652661591067)
134,135,20259,1,0,0,-73.9440861252744,40.60490907429437,"40.60490907429437,-73.9440861252744",POINT (-73.9440861252744 40.60490907429437)
135,136,20259,1,0,0,-73.99566435442637,40.618432752769365,"40.618432752769365,-73.99566435442637",POINT (-73.99566435442637 40.61843275276937)
136,137,20259,1,0,0,-73.99832324052511,40.61712583548899,"40.61712583548899,-73.99832324052511",POINT (-73.99832324052511 40.61712583548899)
137,138,20259,1,0,0,-74.00012834354817,40.60631772648196,"40.60631772648196,-74.00012834354817",POINT (-74.00012834354817 40.60631772648196)
138,139,20259,1,0,0,-73.98611013327599,40.635886411928425,"40.635886411928425,-73.98611013327599",POINT (-73.98611013327599 40.63588641192842)
139,140,20259,1,0,0,-73.95818569991008,40.58691553592331,"40.58691553592331,-73.95818569991008",POINT (-73.95818569991008 40.58691553592331)
140,141,20259,1,0,1,-73.99191630659226,40.631699279098484,"40.631699279098484,-73.99191630659226",POINT (-73.99191630659226 40.63169927909848)
141,142,20259,1,0,1,-74.00434150725471,40.619752527657056,"40.619752527657056,-74.00434150725471",POINT (-74.00434150725471 40.61975252765706)
142,143,20259,1,0,1,-74.01462070787932,40.639182617883534,"40.639182617883534,-74.01462070787932",POINT (-74.01462070787932 40.63918261788353)
